timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764718641163,30004,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-8,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718640453,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-9,,false,,2709,0,20,20,null,0,763,1
1764718641210,30003,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-9,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718641439,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-10,,false,,2709,0,20,20,null,0,1572,2
1764718643006,30003,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-10,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718642438,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-11,,false,,2709,0,20,20,null,0,702,1
1764718643134,30002,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-11,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718643450,30010,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-12,,false,,2709,0,20,20,null,0,909,1
1764718644354,30010,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-12,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718644449,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-13,,false,,2709,0,20,20,null,0,1329,2
1764718645774,30003,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-13,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718645444,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-14,,false,,2709,0,20,20,null,0,648,1
1764718646088,30002,POST /tickets/reserve (eventId=2),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-14,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718647439,30009,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-16,,false,,2709,0,20,20,null,0,1397,1
1764718648832,30009,POST /tickets/reserve (eventId=5),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-16,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718648438,30003,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-17,,false,,2709,0,20,20,null,0,683,2
1764718649117,30003,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-17,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718646438,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-15,,false,,2709,0,20,20,null,0,2693,1
1764718649127,30002,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-15,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718649436,30004,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-18,,false,,2709,0,20,20,null,0,1704,2
1764718651138,30004,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-18,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718650437,30002,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-19,,false,,2709,0,20,20,null,0,1281,1
1764718651714,30002,POST /tickets/reserve (eventId=4),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-19,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718651437,30008,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-20,,false,,2709,0,20,20,null,0,2353,1
1764718653787,30008,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-20,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,1
1764718669396,30006,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-7,,false,,2709,0,20,20,null,0,491,4
1764718669888,30006,POST /tickets/reserve (eventId=1),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-7,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,4
1764718669594,30009,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-1,,false,,2709,0,20,20,null,0,417,2
1764718670012,30009,POST /tickets/reserve (eventId=3),Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Reservation Flow - 20 Users 1-1,text,false,Unexpected HTTP status,2709,0,20,20,http://localhost:8082/tickets/reserve,0,0,2
1764718669409,30019,Complete Reservation Flow,Non HTTP response code: java.net.SocketTimeoutException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 20 Users 1-4,,false,,2709,0,20,20,null,0,955,12
