timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764717719231,12,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-8,text,false,Reserve request did not return HTTP 2xx status,2701,0,10,10,http://localhost:8082/tickets/reserve,0,0,12
1764717718579,23,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-5,,false,,2701,0,10,10,null,0,651,22
1764717719229,23,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-5,text,false,Reserve request did not return HTTP 2xx status,2701,0,10,10,http://localhost:8082/tickets/reserve,0,0,22
1764717718247,16,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-9,,false,,2701,0,10,10,null,0,1135,16
1764717719375,16,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-9,text,false,Reserve request did not return HTTP 2xx status,2701,0,10,10,http://localhost:8082/tickets/reserve,0,0,16
1764717719103,10,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-2,,false,,2701,0,11,11,null,0,531,9
1764717719629,10,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-2,text,false,Reserve request did not return HTTP 2xx status,2701,0,11,11,http://localhost:8082/tickets/reserve,0,0,9
1764717718800,16,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-1,,false,,2701,0,11,11,null,0,1208,16
1764717720004,16,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-1,text,false,Reserve request did not return HTTP 2xx status,2701,0,11,11,http://localhost:8082/tickets/reserve,0,0,16
1764717719443,15,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-11,,false,,2701,0,12,12,null,0,649,15
1764717720086,15,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-11,text,false,Reserve request did not return HTTP 2xx status,2701,0,12,12,http://localhost:8082/tickets/reserve,0,0,15
1764717717052,19,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-7,,false,,2701,0,12,12,null,0,3211,19
1764717720258,19,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-7,text,false,Reserve request did not return HTTP 2xx status,2701,0,12,12,http://localhost:8082/tickets/reserve,0,0,19
1764717718646,18,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-6,,false,,2701,0,12,12,null,0,1804,17
1764717720447,18,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-6,text,false,Reserve request did not return HTTP 2xx status,2701,0,12,12,http://localhost:8082/tickets/reserve,0,0,17
1764717720109,13,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-11,,false,,2701,0,13,13,null,0,788,13
1764717720895,13,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-11,text,false,Reserve request did not return HTTP 2xx status,2701,0,13,13,http://localhost:8082/tickets/reserve,0,0,13
1764717719402,13,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-9,,false,,2701,0,13,13,null,0,1674,13
1764717721075,13,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-9,text,false,Reserve request did not return HTTP 2xx status,2701,0,13,13,http://localhost:8082/tickets/reserve,0,0,13
1764717719247,12,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-8,,false,,2701,0,14,14,null,0,2009,12
1764717721254,12,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-8,text,false,Reserve request did not return HTTP 2xx status,2701,0,14,14,http://localhost:8082/tickets/reserve,0,0,12
1764717719180,22,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-3,,false,,2701,0,14,14,null,0,2181,21
1764717721360,22,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-3,text,false,Reserve request did not return HTTP 2xx status,2701,0,14,14,http://localhost:8082/tickets/reserve,0,0,21
1764717718847,23,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-10,,false,,2701,0,14,14,null,0,2631,23
1764717721476,23,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-10,text,false,Reserve request did not return HTTP 2xx status,2701,0,14,14,http://localhost:8082/tickets/reserve,0,0,23
1764717720283,7,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-7,,false,,2701,0,14,14,null,0,1514,7
1764717721793,7,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-7,text,false,Reserve request did not return HTTP 2xx status,2701,0,14,14,http://localhost:8082/tickets/reserve,0,0,7
1764717719203,2,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-4,,false,,2701,0,15,15,null,0,2628,2
1764717721830,2,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-4,text,false,Reserve request did not return HTTP 2xx status,2701,0,15,15,http://localhost:8082/tickets/reserve,0,0,2
1764717721090,3,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-9,,false,,2701,0,15,15,null,0,908,3
1764717721997,3,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-9,text,false,Reserve request did not return HTTP 2xx status,2701,0,15,15,http://localhost:8082/tickets/reserve,0,0,3
1764717720044,14,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-12,,false,,2701,0,15,15,null,0,2321,14
1764717722363,14,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-12,text,false,Reserve request did not return HTTP 2xx status,2701,0,15,15,http://localhost:8082/tickets/reserve,0,0,14
1764717719254,22,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-5,,false,,2701,0,16,16,null,0,3362,22
1764717722615,22,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-5,text,false,Reserve request did not return HTTP 2xx status,2701,0,16,16,http://localhost:8082/tickets/reserve,0,0,22
1764717721805,3,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-7,,false,,2701,0,16,16,null,0,1026,3
1764717722829,3,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-7,text,false,Reserve request did not return HTTP 2xx status,2701,0,16,16,http://localhost:8082/tickets/reserve,0,0,3
1764717719647,2,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-2,,false,,2701,0,16,16,null,0,3332,2
1764717722978,2,POST /tickets/reserve,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8082 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: no further information",Reservation Flow - 50 Users 1-2,text,false,Reserve request did not return HTTP 2xx status,2701,0,16,16,http://localhost:8082/tickets/reserve,0,0,2
1764717721811,13,Complete Reservation Flow,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 1, number of failing samples : 1",Reservation Flow - 50 Users 1-15,,false,,2701,0,17,17,null,0,1216,13
